energy,grayMatter,perimeter,whiteMatter
3.6638,0.289795,0,2.52298
3.6558,0.291231,0,2.51355
3.64823,0.294256,0,2.50295
3.64721,0.295022,0,2.50117
3.64721,0.295022,0,2.50117
3.63654,0.297115,0,2.4884
3.63654,0.297115,0,2.4884
3.63654,0.297115,0,2.4884
3.63654,0.297115,0,2.4884
3.63654,0.297115,0,2.4884
3.63458,0.298164,0,2.48539
3.62294,0.302296,0,2.46962
3.62294,0.302296,0,2.46962
3.6179,0.303732,0,2.46315
3.6179,0.303732,0,2.46315
3.6179,0.303732,0,2.46315
3.6179,0.303732,0,2.46315
3.61326,0.30472,0,2.45752
3.61117,0.306134,0,2.45402
3.61117,0.306134,0,2.45402
3.61117,0.306134,0,2.45402
3.61117,0.306134,0,2.45402
3.61117,0.306134,0,2.45402
3.61117,0.306134,0,2.45402
3.61117,0.306134,0,2.45402
3.61117,0.306134,0,2.45402
3.61117,0.306134,0,2.45402
3.61117,0.306134,0,2.45402
3.61117,0.306134,0,2.45402
3.60462,0.306847,0,2.44676
3.60462,0.306847,0,2.44676
3.60462,0.306847,0,2.44676
3.60462,0.306847,0,2.44676
3.60462,0.306847,0,2.44676
3.60462,0.306847,0,2.44676
3.60462,0.306847,0,2.44676
3.60462,0.306847,0,2.44676
3.60462,0.306847,0,2.44676
3.60462,0.306847,0,2.44676
3.60242,0.308247,0,2.44315
3.60242,0.308247,0,2.44315
3.59854,0.311361,0,2.43616
3.59854,0.311361,0,2.43616
3.59854,0.311361,0,2.43616
3.59854,0.311361,0,2.43616
3.59854,0.311361,0,2.43616
3.59854,0.311361,0,2.43616
3.59854,0.311361,0,2.43616
3.59854,0.311361,0,2.43616
3.59854,0.311361,0,2.43616
3.59854,0.311361,0,2.43616
3.59854,0.311361,0,2.43616
3.58784,0.316509,0,2.42031
3.58784,0.316509,0,2.42031
3.58273,0.317937,0,2.41377
3.58169,0.31986,0,2.41081
3.58169,0.31986,0,2.41081
3.58169,0.31986,0,2.41081
3.58169,0.31986,0,2.41081
3.56781,0.32604,0,2.39075
3.56781,0.32604,0,2.39075
3.56781,0.32604,0,2.39075
3.56781,0.32604,0,2.39075
3.5596,0.329535,0,2.37905
3.55222,0.333571,0,2.36763
3.55222,0.333571,0,2.36763
3.55222,0.333571,0,2.36763
3.55201,0.335166,0,2.36583
3.55201,0.335166,0,2.36583
3.55201,0.335166,0,2.36583
3.55201,0.335166,0,2.36583
3.55201,0.335166,0,2.36583
3.55201,0.335166,0,2.36583
3.55201,0.335166,0,2.36583
3.53754,0.3455,0,2.34102
3.53754,0.3455,0,2.34102
3.53754,0.3455,0,2.34102
3.53406,0.350442,0,2.3326
3.53406,0.350442,0,2.3326
3.53406,0.350442,0,2.3326
3.53406,0.350442,0,2.3326
3.53406,0.350442,0,2.3326
3.53406,0.350442,0,2.3326
3.53406,0.350442,0,2.3326
3.53406,0.350442,0,2.3326
3.53406,0.350442,0,2.3326
3.52956,0.351976,0,2.32656
3.52956,0.351976,0,2.32656
3.52956,0.351976,0,2.32656
3.52474,0.354402,0,2.31932
3.52474,0.354402,0,2.31932
3.52474,0.354402,0,2.31932
3.52474,0.354402,0,2.31932
3.5226,0.35446,0,2.31712
3.51012,0.356151,0,2.30295
3.51012,0.356151,0,2.30295
3.51012,0.356151,0,2.30295
3.51012,0.356151,0,2.30295
3.51012,0.356151,0,2.30295
3.50673,0.360182,0,2.29553
3.50673,0.360182,0,2.29553
3.50448,0.360445,0,2.29301
3.50448,0.360445,0,2.29301
3.50448,0.360445,0,2.29301
3.50448,0.360445,0,2.29301
3.49975,0.36226,0,2.28647
3.49975,0.36226,0,2.28647
3.4916,0.361232,0,2.27935
3.4916,0.361232,0,2.27935
3.4916,0.361232,0,2.27935
3.48569,0.364186,0,2.27049
3.48569,0.364186,0,2.27049
3.48569,0.364186,0,2.27049
3.48569,0.364186,0,2.27049
3.48404,0.367091,0,2.26593
3.48404,0.367091,0,2.26593
3.48404,0.367091,0,2.26593
3.48404,0.367091,0,2.26593
3.48404,0.367091,0,2.26593
3.48404,0.367091,0,2.26593
3.47655,0.369722,0,2.25581
3.47655,0.369722,0,2.25581
3.47085,0.370705,0,2.24912
3.46682,0.36999,0,2.24581
3.46682,0.36999,0,2.24581
3.46682,0.36999,0,2.24581
3.46682,0.36999,0,2.24581
3.46278,0.373301,0,2.23846
3.46111,0.374624,0,2.23547
3.46111,0.374624,0,2.23547
3.46111,0.374624,0,2.23547
3.46111,0.374624,0,2.23547
3.46111,0.374624,0,2.23547
3.46111,0.374624,0,2.23547
3.46111,0.374624,0,2.23547
3.46111,0.374624,0,2.23547
3.46111,0.374624,0,2.23547
3.46111,0.374624,0,2.23547
3.46111,0.374624,0,2.23547
3.46111,0.374624,0,2.23547
3.46111,0.374624,0,2.23547
3.46111,0.374624,0,2.23547
3.4466,0.390751,0,2.20483
3.4466,0.390751,0,2.20483
3.4466,0.390751,0,2.20483
3.4466,0.390751,0,2.20483
3.4466,0.390751,0,2.20483
3.4466,0.390751,0,2.20483
3.4466,0.390751,0,2.20483
3.4466,0.390751,0,2.20483
3.44217,0.394548,0,2.1966
3.44217,0.394548,0,2.1966
3.44217,0.394548,0,2.1966
3.44217,0.394548,0,2.1966
3.44217,0.394548,0,2.1966
3.44217,0.394548,0,2.1966
3.44217,0.394548,0,2.1966
3.43991,0.394783,0,2.19411
3.43991,0.394783,0,2.19411
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.42627,0.398294,0,2.17696
3.41109,0.405862,0,2.1542
3.41109,0.405862,0,2.1542
3.41109,0.405862,0,2.1542
3.41109,0.405862,0,2.1542
3.41109,0.405862,0,2.1542
3.41109,0.405862,0,2.1542
3.40338,0.408258,0,2.1441
3.40338,0.408258,0,2.1441
3.40338,0.408258,0,2.1441
3.40338,0.408258,0,2.1441
3.40233,0.414744,0,2.13657
3.40233,0.414744,0,2.13657
3.40233,0.414744,0,2.13657
3.40233,0.414744,0,2.13657
3.40233,0.414744,0,2.13657
3.39626,0.415393,0,2.12985
3.39626,0.415393,0,2.12985
3.39626,0.415393,0,2.12985
3.39323,0.416345,0,2.12587
3.39323,0.416345,0,2.12587
3.39323,0.416345,0,2.12587
3.39323,0.416345,0,2.12587
3.39323,0.416345,0,2.12587
3.39323,0.416345,0,2.12587
3.39323,0.416345,0,2.12587
3.39323,0.416345,0,2.12587
3.39323,0.416345,0,2.12587
3.39323,0.416345,0,2.12587
